# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=4, dual_bound=0.9685219388730336, primal_obj=0.9685219388730335, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=5, dual_bound=0.9430673495203113, primal_obj=0.9430673495203116, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=6, dual_bound=1.0140253913266044, primal_obj=1.0140253913266046, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=8, dual_bound=1.0113942757451981, primal_obj=1.011394275745198, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=9, dual_bound=0.9570208551646008, primal_obj=0.9570208551646007, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=10, dual_bound=0.9645157645840148, primal_obj=0.9645157645840148, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=11, dual_bound=1.0349940595446145, primal_obj=1.034994059544614, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=12, dual_bound=0.9517810549669387, primal_obj=0.9517810549669387, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=13, dual_bound=0.9745310114817787, primal_obj=0.9745310114817788, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=14, dual_bound=0.9931221401832828, primal_obj=0.9931221401832833, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=15, dual_bound=1.0720635638371387, primal_obj=1.072063563837139, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=16, dual_bound=0.9546183491461647, primal_obj=0.9546183491461647, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=17, dual_bound=0.953681814098912, primal_obj=0.9536818140989118, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=8, verts=(1, 3, 4, 8), scenario=19, dual_bound=0.9481706446712953, primal_obj=0.9481706446712954, dual<primal=True
[Iter 20] [CS TimeLimit] simplex_idx=46, verts=(1, 4, 23, 28), scenario=6, dual_bound=1.0108382274479195, primal_obj=1.01083822744792, dual<primal=True
[Iter 21] [CS TimeLimit] simplex_idx=47, verts=(1, 4, 23, 29), scenario=11, dual_bound=1.034646174394456, primal_obj=1.0346461743944562, dual<primal=True
